			Position	Word Onset			Word Medial			Word Final		
bigram	All TypeF	All TokenF	All LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF
a'	1851	37718	10.537893	11	75	4.317488	20	41	3.713572	1820	37602	10.534813
'a	107	1009	6.916715	1	2	0.693147	102	1000	6.907755	4	7	1.94591
ab	2251	20976	9.951134	622	9465	9.155356	1625	11502	9.350276	4	9	2.197225
ba	2863	25668	10.153	1316	14724	9.597234	1406	9337	9.14174	141	1607	7.382124
ad	2173	30172	10.31467	594	10815	9.288689	1566	19268	9.866201	13	89	4.488636
di	7900	227198	12.333577	2975	174105	12.067414	4248	42272	10.65188	677	10821	9.289244
ia	12846	144700	11.882418	26	50	3.912023	10013	87459	11.378925	2807	57191	10.954152
an	17839	219726	12.300137	1531	42551	10.658459	16078	172205	12.056441	230	4970	8.511175
nd	7335	76815	11.249155	0	0	0	7331	76789	11.248817	4	26	3.258097
do	5821	74686	11.221048	751	24976	10.125671	2744	13263	9.492733	2326	36447	10.503614
on	14662	268816	12.501782	157	1649	7.407924	14282	203818	12.224983	223	63349	11.056414
ni	7910	103936	11.551531	186	2215	7.703008	4180	47742	10.773567	3544	53979	10.89635
i'	259	9846	9.194821	0	0	0	28	43	3.7612	231	9803	9.190444
'm	11	31	3.433987	0	0	0	10	30	3.401197	1	1	0
no	9732	203349	12.222679	541	52903	10.876215	1985	17278	9.757189	7206	133168	11.799367
as	5954	61631	11.02892	1118	10974	9.303284	4717	50082	10.821417	119	575	6.35437
ss	5915	88984	11.396212	0	0	0	5902	88660	11.392564	13	324	5.780744
si	8376	138753	11.840451	791	50691	10.833504	4351	59068	10.986445	3234	28994	10.274844
at	21892	218680	12.295365	656	10526	9.261604	21188	207744	12.244062	48	410	6.016157
ta	17841	239621	12.386814	729	10981	9.303922	10179	135635	11.817723	6933	93005	11.440409
nt	13326	183481	12.119866	0	0	0	13319	183421	12.119539	7	60	4.094345
tu	2770	46177	10.740237	354	16862	9.732818	2399	29286	10.284865	17	29	3.367296
uo	911	36116	10.494491	12	3479	8.1545	840	25708	10.154558	59	6929	8.843471
