			Position	Word Onset			Word Medial			Word Final			Syllable Onset			Syllable Medial			Syllable Final			Cross Syllable
biPhone	All TypeF	All TokenF	All LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	
ab	2251	20976.000000	9.951134	625	9491.000000	9.158099	1622	11476.000000	9.348013	4	9.000000	2.197225	391	6994.000000	8.852808	0	0.000000	0.000000	585	8371.000000	9.032529	1666	12605.000000	9.441849	
ba	2864	25669.000000	10.153039	1317	14725.000000	9.597302	1400	9327.000000	9.140669	147	1617.000000	7.388328	2648	24502.000000	10.106510	151	1020.000000	6.927558	1125	8944.000000	9.098738	14	28.000000	3.332205	
ad	2171	30169.000000	10.314570	594	10815.000000	9.288689	1564	19265.000000	9.866045	13	89.000000	4.488636	203	7039.000000	8.859221	0	0.000000	0.000000	292	2161.000000	7.678326	1867	22468.000000	10.019847	
dj	1159	13978.000000	9.545240	185	2973.000000	7.997327	974	11005.000000	9.306105	0	0.000000	0.000000	1159	13978.000000	9.545240	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	
ja	6783	76165.000000	11.240657	41	114.000000	4.736198	5414	51961.000000	10.858249	1328	24090.000000	10.089552	327	1970.000000	7.585789	1251	11317.000000	9.334061	5499	64702.000000	11.077547	0	0.000000	0.000000	
an	17838	219687.000000	12.299959	1543	53608.000000	10.889454	16064	161108.000000	11.989830	231	4971.000000	8.511376	1406	52312.000000	10.864981	52	186.000000	5.225747	10540	152687.000000	11.936145	7241	66746.000000	11.108650	
nd	7335	76815.000000	11.249155	0	0.000000	0.000000	7331	76789.000000	11.248817	4	26.000000	3.258097	0	0.000000	0.000000	0	0.000000	0.000000	4	26.000000	3.258097	7331	76789.000000	11.248817	
dO	369	6079.000000	8.712595	120	4119.000000	8.323366	209	1432.000000	7.266827	40	528.000000	6.269096	365	6068.000000	8.710784	0	0.000000	0.000000	189	1511.000000	7.320527	4	11.000000	2.397895	
On	891	19456.000000	9.875911	12	319.000000	5.765191	733	17630.000000	9.777357	146	1507.000000	7.317876	19	108.000000	4.682131	6	54.000000	3.988984	311	5132.000000	8.543251	568	14203.000000	9.561208	
ni	6882	87514.000000	11.379554	168	1021.000000	6.928538	3243	37292.000000	10.526534	3471	49201.000000	10.803669	6870	87489.000000	11.379268	9	22.000000	3.091042	5811	74725.000000	11.221570	0	0.000000	0.000000	
im	4778	59764.000000	10.998159	1607	14215.000000	9.562053	3148	45447.000000	10.724302	23	102.000000	4.624973	1584	14065.000000	9.551445	0	0.000000	0.000000	1948	16403.000000	9.705220	2830	43361.000000	10.677316	
no	8702	182825.000000	12.116285	358	43451.000000	10.679389	1219	10674.000000	9.275566	7125	128700.000000	11.765239	8673	182775.000000	12.116011	15	28.000000	3.332205	8282	141222.000000	11.858088	0	0.000000	0.000000	
as	5506	56051.000000	10.934017	1056	10642.000000	9.272564	4324	44814.000000	10.710276	126	595.000000	6.388561	1095	10669.000000	9.275098	2	16.000000	2.772589	4338	37361.000000	10.528383	1166	18674.000000	9.834887	
ss	5894	88614.000000	11.392045	0	0.000000	0.000000	5894	88614.000000	11.392045	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	5894	88614.000000	11.392045	
si	7391	120986.000000	11.703430	750	48200.000000	10.783114	3372	38214.000000	10.550957	3269	34572.000000	10.450799	7245	120096.000000	11.696047	8	30.000000	3.401197	6203	75519.000000	11.232140	0	0.000000	0.000000	
at	21889	218657.000000	12.295260	656	10526.000000	9.261604	21183	207719.000000	12.243941	50	412.000000	6.021023	606	10212.000000	9.231319	1	2.000000	0.693147	2474	39561.000000	10.585599	19414	179094.000000	12.095666	
ta	17870	239833.000000	12.387698	732	11004.000000	9.306014	9360	113768.000000	11.641917	7778	115061.000000	11.653218	17278	209793.000000	12.253877	313	3359.000000	8.119399	14476	206281.000000	12.236995	0	0.000000	0.000000	
nt	13323	183453.000000	12.119714	0	0.000000	0.000000	13316	183393.000000	12.119387	7	60.000000	4.094345	0	0.000000	0.000000	0	0.000000	0.000000	7	60.000000	4.094345	13316	183393.000000	12.119387	
tw	226	2864.000000	7.959975	15	235.000000	5.459586	211	2629.000000	7.874359	0	0.000000	0.000000	221	2849.000000	7.954723	5	15.000000	2.708050	0	0.000000	0.000000	0	0.000000	0.000000	
wO	492	26944.000000	10.201516	12	3479.000000	8.154500	469	20006.000000	9.903788	11	3459.000000	8.148735	18	3490.000000	8.157657	51	1145.000000	7.043160	441	25799.000000	10.158091	0	0.000000	0.000000	
te	13637	148727.000000	11.909868	986	14083.000000	9.552724	5369	48021.000000	10.779394	7282	86623.000000	11.369321	13447	143750.000000	11.875831	128	4702.000000	8.455743	10861	120566.000000	11.699953	1	1.000000	0.000000	
ti	16964	169258.000000	12.039179	384	6022.000000	8.703175	8343	76100.000000	11.239804	8237	87136.000000	11.375225	16754	167651.000000	12.029640	47	122.000000	4.804021	15627	160827.000000	11.988085	1	2.000000	0.693147	
in	15239	209525.000000	12.252598	5443	107539.000000	11.585609	9613	99914.000000	11.512065	183	2072.000000	7.636270	5076	103679.000000	11.549055	19	119.000000	4.779123	7370	74297.000000	11.215826	7838	82248.000000	11.317494	
bb	1504	26813.000000	10.196642	0	0.000000	0.000000	1504	26813.000000	10.196642	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	1504	26813.000000	10.196642	
ak	2885	24955.000000	10.124829	982	9885.000000	9.198774	1862	14856.000000	9.606159	41	214.000000	5.365976	915	9534.000000	9.162620	11	169.000000	5.129899	1902	18186.000000	9.808407	972	6600.000000	8.794825	
kk	3688	37396.000000	10.529319	0	0.000000	0.000000	3688	37396.000000	10.529319	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	3688	37396.000000	10.529319	
kj	1638	19851.000000	9.896010	378	9012.000000	9.106312	1260	10839.000000	9.290906	0	0.000000	0.000000	1457	18934.000000	9.848715	181	917.000000	6.821107	0	0.000000	0.000000	0	0.000000	0.000000	
to	13312	262108.000000	12.476512	562	6533.000000	8.784622	3976	31836.000000	10.368353	8774	223739.000000	12.318235	13223	261727.000000	12.475057	54	177.000000	5.176150	12463	253182.000000	12.441864	1	2.000000	0.693147	
jo	5919	97438.000000	11.486972	9	23.000000	3.135494	4413	65429.000000	11.088721	1497	31986.000000	10.373054	189	2605.000000	7.865188	160	860.000000	6.756932	5750	96539.000000	11.477702	0	0.000000	0.000000	
ac	1861	16694.000000	9.722805	329	2664.000000	7.887584	1532	14030.000000	9.548953	0	0.000000	0.000000	301	2494.000000	7.821643	0	0.000000	0.000000	1030	8022.000000	8.989943	831	8672.000000	9.067855	
ci	4835	56615.000000	10.944029	767	19187.000000	9.861988	2204	23740.000000	10.074917	1864	13688.000000	9.524275	4835	56615.000000	10.944029	0	0.000000	0.000000	4122	39535.000000	10.584942	0	0.000000	0.000000	
na	7935	108363.000000	11.593242	479	8496.000000	9.047351	5401	42428.000000	10.655564	2055	57439.000000	10.958479	7917	108338.000000	11.593011	1	1.000000	0.000000	6303	95352.000000	11.465331	3	3.000000	1.098612	
de	4974	149666.000000	11.916161	1847	114979.000000	11.652505	2593	21567.000000	9.978920	534	13120.000000	9.481893	4957	149607.000000	11.915767	14	54.000000	3.988984	3565	59740.000000	10.997757	2	3.000000	1.098612	
