			Position	Single Onset			Onset /Cc/			Onset /cC/			Onset /Ccc/			Onset /cCc/			Onset /ccC/			Nucleus			Single Coda			1st Coda			2nd Coda			Geminate		
Phone	All TypeF	All TokenF	All lnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF
a	130038	1998141	14.507728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130038	1998141	14.507728	0	0	0	0	0	0	0	0	0	0	0	0
b	14659	165864	12.018923	10104	98819	11.501045	2467	37529	10.532869	336	1545	7.342779	69	772	6.648985	99	214	5.365976	0	0	0	0	0	0	1583	26984	10.202999	0	0	0	1	1	0	3008	53626	10.889789
c	13390	165303	12.015535	11414	149087	11.912285	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1972	16192	9.692273	0	0	0	3	23	3.135494	3936	32260	10.381583
d	25748	594549	13.295558	23147	555753	13.228079	1908	23388	10.059978	28	75	4.317488	30	212	5.356586	28	95	4.553877	0	0	0	0	0	0	552	14040	9.549666	0	0	0	55	986	6.893656	896	8086	8.997889
e	81278	1555738	14.257461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81278	1555738	14.257461	0	0	0	0	0	0	0	0	0	0	0	0
E	14428	342453	12.74389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14428	342453	12.74389	0	0	0	0	0	0	0	0	0	0	0	0
f	14190	187581	12.141966	9554	139644	11.846852	2176	25575	10.149371	532	3897	8.267962	46	212	5.356586	125	540	6.291569	0	0	0	0	0	0	1746	17504	9.770185	3	61	4.110874	8	148	4.997212	3438	34678	10.453861
G	9721	95160	11.463315	5890	53845	10.893865	3154	38435	10.556724	165	419	6.037871	14	36	3.583519	118	653	6.481577	0	0	0	0	0	0	348	1583	7.367077	0	0	0	32	189	5.241747	514	2396	7.781556
g	10066	121624	11.70869	7850	97017	11.482641	9	17	2.833213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2205	24584	10.109851	0	0	0	1	2	0.693147	4410	49168	10.802998
i	101952	1494869	14.217549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101952	1494869	14.217549	0	0	0	0	0	0	0	0	0	0	0	0
j	16534	249801	12.42842	840	9736	9.183586	0	0	0	14813	227685	12.335718	0	0	0	0	0	0	770	11490	9.349232	0	0	0	104	762	6.635947	5	10	2.302585	0	0	0	0	0	0
k	39248	637440	13.365215	27241	460807	13.040735	5415	113089	11.63593	1885	14745	9.598659	66	527	6.267201	581	6284	8.745762	0	0	0	0	0	0	3975	40076	10.598533	67	1820	7.506592	18	92	4.521789	7376	74792	11.222466
L	4055	76278	11.24214	2148	44850	10.711079	4	7	1.94591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1903	31421	10.355232	0	0	0	0	0	0	3802	62838	11.048315
l	42353	898416	13.708388	28111	491934	13.1061	763	14105	9.554285	2566	25675	10.153273	0	0	0	64	343	5.83773	37	353	5.866468	0	0	0	10790	364596	12.806545	20	1402	7.245655	2	8	2.079442	10536	265856	12.49071
m	30641	446039	13.008162	23736	363852	12.804502	334	2977	7.998671	337	1865	7.531016	2	3	1.098612	6	15	2.70805	0	0	0	0	0	0	6212	75989	11.238344	9	65	4.174387	5	1273	7.149132	3398	32046	10.374928
