		Total			MonoSyll			Initial			Medial			Final			nGram_Total			nGram_Word_initial
phones	Syllable Length	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF
a	1	5263	205077.000000	12.231141	42	94559.000000	11.456979	2833	64799.000000	11.079045	1270	13997.000000	9.546598	1118	31722.000000	10.364766	130038	1998141.000000	14.507728	12956	369243.000000	12.819210	
ba	2	1076	8834.000000	9.086363	2	9.000000	2.197225	430	3398.000000	8.130942	497	3810.000000	8.245384	147	1617.000000	7.388328	2864	25669.000000	10.153039	1317	14725.000000	9.597302	
dja	3	613	6376.000000	8.760296	0	0.000000	0.000000	99	832.000000	6.723832	421	3799.000000	8.242493	93	1745.000000	7.464510	680	6737.000000	8.815370	114	918.000000	6.822197	
ban	3	197	2736.000000	7.914252	3	6.000000	1.791759	91	1798.000000	7.494430	101	910.000000	6.813445	2	22.000000	3.091042	342	3648.000000	8.201934	109	1964.000000	7.582738	
dOn	3	48	3108.000000	8.041735	4	381.000000	5.942799	14	2512.000000	7.828835	21	163.000000	5.093750	9	52.000000	3.951244	71	3207.000000	8.073091	18	2893.000000	7.970049	
nim	3	7	18.000000	2.890372	0	0.000000	0.000000	0	0.000000	0.000000	4	15.000000	2.708050	3	3.000000	1.098612	206	2467.000000	7.810758	3	5.000000	1.609438	
no	2	8268	141200.000000	11.857933	0	0.000000	0.000000	261	6744.000000	8.816408	882	5756.000000	8.657998	7125	128700.000000	11.765239	8702	182825.000000	12.116285	358	43451.000000	10.679389	
bas	3	202	3087.000000	8.034955	0	0.000000	0.000000	120	2344.000000	7.759614	79	732.000000	6.595781	3	11.000000	2.397895	267	4555.000000	8.423981	179	3786.000000	8.239065	
si	2	6095	104027.000000	11.552406	30	29368.000000	10.287661	341	11296.000000	9.332204	2459	28826.000000	10.269033	3265	34537.000000	10.449786	7391	120986.000000	11.703430	750	48200.000000	10.783114	
bat	3	331	2842.000000	7.952263	1	6.000000	1.791759	152	1726.000000	7.453562	173	1096.000000	6.999422	5	14.000000	2.639057	514	4018.000000	8.298540	164	1773.000000	7.480428	
tan	3	906	15181.000000	9.627800	0	0.000000	0.000000	81	4562.000000	8.425516	808	10531.000000	9.262079	17	88.000000	4.477337	1696	22487.000000	10.020693	99	4660.000000	8.446771	
twO	3	21	225.000000	5.416100	0	0.000000	0.000000	8	161.000000	5.081404	11	60.000000	4.094345	2	4.000000	1.386294	27	268.000000	5.590987	11	192.000000	5.257495	
te	2	10811	121077.000000	11.704182	11	785.000000	6.665684	472	7349.000000	8.902320	3047	26322.000000	10.178160	7281	86621.000000	11.369298	13637	148727.000000	11.909868	986	14083.000000	9.552724	
ti	2	15469	160956.000000	11.988886	4	1612.000000	7.385231	282	3989.000000	8.291296	6953	68231.000000	11.130654	8230	87124.000000	11.375088	16964	169258.000000	12.039179	384	6022.000000	8.703175	
ni	2	5809	74724.000000	11.221557	1	2.000000	0.693147	113	782.000000	6.661855	2224	24739.000000	10.116136	3471	49201.000000	10.803669	6882	87514.000000	11.379554	168	1021.000000	6.928538	
ab	2	391	6994.000000	8.852808	0	0.000000	0.000000	382	6981.000000	8.850947	9	13.000000	2.564949	0	0.000000	0.000000	2251	20976.000000	9.951134	625	9491.000000	9.158099	
bak	3	60	204.000000	5.318120	0	0.000000	0.000000	32	104.000000	4.644391	28	100.000000	4.605170	0	0.000000	0.000000	77	248.000000	5.513429	45	139.000000	4.934474	
kja	3	685	7651.000000	8.942592	0	0.000000	0.000000	144	3380.000000	8.125631	459	3252.000000	8.087025	82	1019.000000	6.926577	934	8587.000000	9.058005	211	3800.000000	8.242756	
ta	2	14198	179603.000000	12.098504	1	3.000000	1.098612	227	2510.000000	7.828038	6202	63687.000000	11.061736	7768	113403.000000	11.638703	17870	239833.000000	12.387698	732	11004.000000	9.306014	
